id,title,type,year,primary_source_url,local_path,download_status,license,notes
doc_decree_1947,"Постановление Совета Министров СССР № 53 от 13 января 1947 г.",primary_document,1947,https://letopis.msu.ru/content/postanovlenie-sm-sssr-no53-ot-13-yanvarya-1947-g,assets/documents/originals/,metadata_only,© Аналитическая служба МГУ (публикация),"HTML-стабилен; прямой PDF отсутствует; полный текст извлечён"
doc_vysotnye_zdaniya_9v_t1,"«Высотные здания в Москве. Проекты», том 1 — введение",book,1951,https://search.rsl.ru/ru/record/01005580448,assets/documents/originals/,metadata_only,Открытый доступ через Просмотрщик РГБ,"RuMoRGB; viewer-only"
doc_vysotnye_zdaniya_9v_t2,"… том 2 — МГУ (Ленинские горы)",book,1951,https://search.rsl.ru/ru/record/01005580448,assets/documents/originals/,metadata_only,Открытый доступ через Просмотрщик РГБ,viewer-only; ID 01005617947
doc_vysotnye_zdaniya_9v_t3,"… том 3 — гостиница и жилые корпуса на Дорогомиловской набережной",book,1951,https://search.rsl.ru/ru/record/01005580448,assets/documents/originals/,metadata_only,Открытый доступ через Просмотрщик РГБ,viewer-only; ID 01005617946
doc_vysotnye_zdaniya_9v_t4,"… том 4 — административное здание на Смоленской площади",book,1951,https://search.rsl.ru/ru/record/01005580448,assets/documents/originals/,metadata_only,Открытый доступ через Просмотрщик РГБ,viewer-only; ID 01005617945
doc_vysotnye_zdaniya_9v_t5,"… том 5 — гостиница на Комсомольской площади (Ленинградская)",book,1951,https://search.rsl.ru/ru/record/01005580448,assets/documents/originals/,metadata_only,Открытый доступ через Просмотрщик РГБ,viewer-only; ID 01005617944
doc_vysotnye_zdaniya_9v_t6,"… том 6 — административное здание и жилые корпуса у Красных Ворот",book,1951,https://search.rsl.ru/ru/record/01005580448,assets/documents/originals/,metadata_only,Открытый доступ через Просмотрщик РГБ,viewer-only; ID 01005617943
doc_vysotnye_zdaniya_9v_t7,"… том 7 — жилой дом на площади Восстания (Кудринская)",book,1951,https://search.rsl.ru/ru/record/01005580448,assets/documents/originals/,metadata_only,Открытый доступ через Просмотрщик РГБ,viewer-only; ID 01005617942
doc_vysotnye_zdaniya_9v_t8,"… том 8 — административное здание в Зарядье",book,1951,https://search.rsl.ru/ru/record/01005580448,assets/documents/originals/,metadata_only,Открытый доступ через Просмотрщик РГБ,"viewer-only; ID 01005617941; ключевой том для 8-й высотки"
doc_vysotnye_zdaniya_9v_t9,"… том 9 — жилой дом на Котельнической набережной",book,1951,https://search.rsl.ru/ru/record/01005580448,assets/documents/originals/,metadata_only,Открытый доступ через Просмотрщик РГБ,viewer-only; ID 01005617940
doc_oltarzhevsky_1953,"Олтаржевский В. К., «Строительство высотных зданий в Москве»",book,1953,https://search.rsl.ru/ru/record/01004824856,assets/documents/originals/,metadata_only,Открытый доступ через Просмотрщик РГБ,"213 с., ил.; viewer-only"
doc_birdinflight_shyrochyn_2020,"Широчин, «Обезбашенный: Высотный Киев, которого не случилось»",article,2020,https://birdinflight.com/ru/architectura/20200702-kyev-aiming-high.html,assets/documents/originals/,metadata_only,Все права защищены (Bird In Flight),"Изображения с авторскими правами; высококачественный вторичный обзор"
doc_myslenedrevo_mokrousova,"Мокроусова, «Цементні мешканці Хрещатика або Життя на фасадах»",article,2003,https://www.myslenedrevo.com.ua/uk/Sci/Kyiv/Heritage/XrescaticSculpture.html,assets/documents/originals/,metadata_only,© Мислене древо 1999-2026,"Упоминает архивное дело № 1024 Киевпроект"
doc_inha_bellat_2023,"Bellat, «La reconstruction de Kiev sous Staline»",article,2023,https://devisu.inha.fr/histoiredelart/102,assets/documents/originals/,metadata_only,CC BY-NC-ND 4.0,Приоритетный академический источник
